"text","intent"
"Hello professor bot!","greeting"
"What topics are covered in NLP this semester?","course_info"
"Hey there!","greeting"
"Hello professor bot!","greeting"
"Do we have an extension for the last assignment in Data Structures?","assignment_deadline"
"Okay goodbye.","goodbye"
"Is the lab report deadline this week for NLP?","assignment_deadline"
"Hi can you help me!","greeting"
"See you.","goodbye"
"When is assignment 1 due for Data Structures?","assignment_deadline"
"Is the lab report deadline this week for Machine Learning?","assignment_deadline"
"I forgot the submission date for Machine Learning assignment","assignment_deadline"
"Is attendance required for Data Structures?","course_info"
"Where can I find materials for NLP?","course_info"
"Where is the office for NLP consultation?","office_hours"
"Where can I find materials for Machine Learning?","course_info"
"What is the grading policy in Data Structures?","course_info"
"What time can we visit during office hours for Data Structures?","office_hours"
"When is assignment 1 due for NLP?","assignment_deadline"
"What time is the assignment deadline for Machine Learning?","assignment_deadline"
"Can I meet the instructor for Data Structures tomorrow?","office_hours"
"Hey!","greeting"
"When is the midterm exam for Machine Learning?","exam_date"
"Exam date update for Data Structures please","exam_date"
"Catch you later.","goodbye"
"What time can we visit during office hours for NLP?","office_hours"
"Did the professor change the exam date of NLP?","exam_date"
"Thanks for the help bye.","goodbye"
"How many credits is Data Structures?","course_info"
"Hey assistant!","greeting"
"Do you know the quiz date for Data Structures?","exam_date"
"Has the exam schedule for Machine Learning been announced?","exam_date"
"Okay goodbye.","goodbye"
"Is there a Zoom link for NLP office hour?","office_hours"
"What is the due date of week 3 homework in NLP?","assignment_deadline"
"What is the deadline for homework 2 in Machine Learning?","assignment_deadline"
"Is Data Structures an elective or compulsory course?","course_info"
"Thanks bye.","goodbye"
"When is the midterm exam for NLP?","exam_date"
"Where can I see the exam calendar for Data Structures?","exam_date"
"How many credits is Machine Learning?","course_info"
"What topics are covered in Data Structures this semester?","course_info"
"What time does the Machine Learning midterm start?","exam_date"
"What is the deadline for homework 2 in NLP?","assignment_deadline"
"Deadline for the coding task in NLP?","assignment_deadline"
"Can you tell me the exam day for Machine Learning?","exam_date"
"Do we have an extension for the last assignment in Machine Learning?","assignment_deadline"
"When do we upload the take-home task for Data Structures?","assignment_deadline"
"Hey!","greeting"
"What is the course description for Machine Learning?","course_info"
"How is participation graded in NLP?","course_info"
"Bye.","goodbye"
"When will the makeup exam for Machine Learning be held?","exam_date"
"What is the grading policy in NLP?","course_info"
"What are the consultation hours for NLP?","office_hours"
"Where can I see the exam calendar for Machine Learning?","exam_date"
"What are the consultation hours for Machine Learning?","office_hours"
"What is the due date of week 3 homework in Data Structures?","assignment_deadline"
"Hello professor bot!","greeting"
"I need to discuss grades when are office hours for NLP?","office_hours"
"When do we upload the take-home task for NLP?","assignment_deadline"
"Hi can you help me!","greeting"
"Can I meet the instructor for NLP tomorrow?","office_hours"
"What are the weekly topics in NLP?","course_info"
"What time is the assignment deadline for NLP?","assignment_deadline"
"Hey there!","greeting"
"Hi assistant!","greeting"
"See you later.","goodbye"
"That is all goodbye.","goodbye"
"Hi can you help me!","greeting"
"When is the midterm exam for Data Structures?","exam_date"
"Talk to you later.","goodbye"
"Hey assistant!","greeting"
"Goodbye.","goodbye"
"Is the final of Data Structures in January?","exam_date"
"Is attendance required for NLP?","course_info"
"Hi chatbot!","greeting"
"How can I book an office hour slot for NLP?","office_hours"
"Thanks bye.","goodbye"
"Please tell me the next assignment deadline for Data Structures","assignment_deadline"
"Hi!","greeting"
"I forgot the submission date for NLP assignment","assignment_deadline"
"I need to discuss grades when are office hours for Data Structures?","office_hours"
"What is the deadline for homework 2 in Data Structures?","assignment_deadline"
"What is the grading policy in Machine Learning?","course_info"
"Is the final of NLP in January?","exam_date"
"What are the weekly topics in Machine Learning?","course_info"
"Could you share the office location for Data Structures?","office_hours"
"What is the course description for Data Structures?","course_info"
"Can I ask questions after class for NLP office hours?","office_hours"
"Have a nice day bye.","goodbye"
"How is participation graded in Data Structures?","course_info"
"Where is the office for Machine Learning consultation?","office_hours"
"Is Machine Learning an elective or compulsory course?","course_info"
"What topics are covered in Machine Learning this semester?","course_info"
"Hi chatbot!","greeting"
"Exam date update for Machine Learning please","exam_date"
"I need to discuss grades when are office hours for Machine Learning?","office_hours"
"Good morning!","greeting"
"What are the weekly topics in Data Structures?","course_info"
"Good morning!","greeting"
"Hi assistant!","greeting"
"What is the course description for NLP?","course_info"
"When should we submit the final project in Data Structures?","assignment_deadline"
"When are your office hours for Data Structures?","office_hours"
"Where is the office for Data Structures consultation?","office_hours"
"Do you know the quiz date for NLP?","exam_date"
"When is our first quiz in Machine Learning?","exam_date"
"Hello I have a question!","greeting"
"I am done bye.","goodbye"
"Do we have a project in NLP?","course_info"
"Goodbye.","goodbye"
"What time does the Data Structures midterm start?","exam_date"
"What time does the NLP midterm start?","exam_date"
"How many credits is NLP?","course_info"
"I forgot the submission date for Data Structures assignment","assignment_deadline"
"Are office hours available on Friday for Machine Learning?","office_hours"
"Can I meet the instructor for Machine Learning tomorrow?","office_hours"
"Which textbook do we use in NLP?","course_info"
"Hi!","greeting"
"Can you share the syllabus for Machine Learning?","course_info"
"Catch you later.","goodbye"
"Where can I find materials for Data Structures?","course_info"
"Do we have a project in Machine Learning?","course_info"
"Deadline for the coding task in Machine Learning?","assignment_deadline"
"What date is the final exam in Data Structures?","exam_date"
"Can I ask questions after class for Data Structures office hours?","office_hours"
"Are office hours available on Friday for NLP?","office_hours"
"When are your office hours for Machine Learning?","office_hours"
"Good evening!","greeting"
"Hello I have a question!","greeting"
"Can you tell me the exam day for NLP?","exam_date"
"Please tell me the next assignment deadline for Machine Learning","assignment_deadline"
"What date is the final exam in NLP?","exam_date"
"How is participation graded in Machine Learning?","course_info"
"Has the exam schedule for Data Structures been announced?","exam_date"
"Goodbye.","goodbye"
"Could you share the office location for Machine Learning?","office_hours"
"Hey assistant!","greeting"
"Deadline for the coding task in Data Structures?","assignment_deadline"
"Good evening!","greeting"
